,Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images
11,26-07-2024 04:03,04:03:00,CNR7943634301,Success,CID647026,Prime Plus,Kammanahalli,Rajajinagar,No Reason,No Reason,No,,399,Cash,18,3.9,4.4,#NAME?
12,27-07-2024 13:18,13:18:00,CNR4524472111,Success,CID540929,Auto,Cox Town,Yelahanka,No Reason,No Reason,No,,330,UPI,8,3.0,4.8,#NAME?
13,17-07-2024 18:55,18:55:00,CNR3914552212,Canceled by Driver,CID557845,Auto,Hosur Road,Banashankari,No Reason,Personal & Car related issue,,,427,,0,,,#NAME?
14,16-07-2024 09:54,09:54:00,CNR8181602032,Success,CID167642,Bike,Indiranagar,MG Road,No Reason,No Reason,No,,378,UPI,18,4.8,4.1,#NAME?
15,02-07-2024 10:25,10:25:00,CNR8090918544,Success,CID640151,Bike,Magadi Road,HSR Layout,No Reason,No Reason,No,,343,UPI,23,3.7,3.6,#NAME?
16,02-07-2024 23:50,23:50:00,CNR3211335290,Driver Not Found,CID630354,Mini,Ramamurthy Nagar,BTM Layout,No Reason,No Reason,,,366,,0,,,#NAME?
17,05-07-2024 23:42,23:42:00,CNR3196156650,Success,CID243275,Bike,Electronic City,Langford Town,No Reason,No Reason,No,,401,Cash,8,3.3,3.9,#NAME?
18,09-07-2024 11:11,11:11:00,CNR9975925287,Success,CID162055,Prime SUV,Magadi Road,RT Nagar,No Reason,No Reason,No,,343,UPI,17,3.0,3.8,#NAME?
19,12-07-2024 14:44,14:44:00,CNR1591113431,Success,CID902781,eBike,Koramangala,Sarjapur Road,No Reason,No Reason,No,,2014,Cash,33,4.2,4.9,#NAME?
20,11-07-2024 20:42,20:42:00,CNR3650331573,Success,CID217093,eBike,Basavanagudi,Hulimavu,No Reason,No Reason,No,,650,Cash,34,4.9,3.4,#NAME?
21,08-07-2024 22:33,22:33:00,CNR6013805089,Success,CID817034,Prime Sedan,Padmanabhanagar,Jayanagar,No Reason,No Reason,No,,231,Cash,2,3.2,3.7,#NAME?
22,16-07-2024 10:17,10:17:00,CNR4306636052,Canceled by Driver,CID103842,Prime SUV,Mysore Road,Vijayanagar,No Reason,Customer was coughing/sick,,,909,,0,,,#NAME?
23,03-07-2024 18:20,18:20:00,CNR9832070187,Success,CID655872,Bike,Koramangala,BTM Layout,No Reason,No Reason,No,,189,Cash,6,4.9,3.3,#NAME?
24,03-07-2024 21:17,21:17:00,CNR5620539253,Success,CID290480,Prime Plus,Mysore Road,Sahakar Nagar,No Reason,No Reason,No,,311,Cash,28,4.3,3.0,#NAME?
25,19-07-2024 21:18,21:18:00,CNR4443921904,Success,CID654618,Mini,Tumkur Road,Koramangala,No Reason,No Reason,No,,286,UPI,44,4.0,3.3,#NAME?
26,25-07-2024 03:44,03:44:00,CNR7194303296,Success,CID538245,Mini,Mysore Road,Hennur,No Reason,No Reason,No,,141,UPI,35,4.7,3.1,#NAME?
27,15-07-2024 17:11,17:11:00,CNR6494005067,Success,CID805360,Auto,Yelahanka,Malleshwaram,No Reason,No Reason,No,,214,UPI,2,3.3,4.5,#NAME?
28,30-07-2024 19:44,19:44:00,CNR6805579107,Success,CID810214,Prime SUV,Indiranagar,Indiranagar,No Reason,No Reason,No,,2183,Cash,20,4.0,4.4,#NAME?
29,21-07-2024 08:26,08:26:00,CNR6003663433,Canceled by Customer,CID350426,Prime Plus,Rajajinagar,Chamarajpet,Driver asked to cancel,No Reason,,,604,,0,,,#NAME?
30,23-07-2024 07:04,07:04:00,CNR2998177390,Driver Not Found,CID946041,Auto,RT Nagar,Yelahanka,No Reason,No Reason,,,802,,0,,,#NAME?
31,27-07-2024 06:18,06:18:00,CNR7979458138,Success,CID978509,eBike,Frazer Town,Indiranagar,No Reason,No Reason,No,,1095,Cash,38,4.8,4.7,#NAME?
32,23-07-2024 10:17,10:17:00,CNR7286474506,Canceled by Customer,CID500806,eBike,Jayanagar,Richmond Town,Driver is not moving towards pickup location,No Reason,,,120,,0,,,#NAME?
33,23-07-2024 12:56,12:56:00,CNR9820692957,Success,CID625327,Prime Sedan,Koramangala,Hosur Road,No Reason,No Reason,No,,241,Cash,33,3.2,3.5,#NAME?
34,08-07-2024 11:52,11:52:00,CNR4094067439,Success,CID896062,Prime Sedan,Majestic,Jayanagar,No Reason,No Reason,No,,475,Cash,45,4.3,3.1,#NAME?
35,14-07-2024 05:25,05:25:00,CNR7142279862,Success,CID378034,eBike,Yeshwanthpur,JP Nagar,No Reason,No Reason,No,,461,UPI,49,4.5,3.1,#NAME?
36,23-07-2024 09:33,09:33:00,CNR5488574120,Canceled by Driver,CID169284,Auto,Peenya,Hosur Road,No Reason,Customer related issue,,,783,,0,,,#NAME?
37,03-07-2024 16:16,16:16:00,CNR8148468821,Canceled by Driver,CID347094,Prime Plus,Marathahalli,BTM Layout,No Reason,Customer was coughing/sick,,,995,,0,,,#NAME?
38,03-07-2024 00:58,00:58:00,CNR5176704322,Success,CID296026,Prime Plus,KR Puram,Hennur,No Reason,No Reason,Yes,Customer Demand,1102,UPI,41,3.1,3.5,#NAME?
39,24-07-2024 17:31,17:31:00,CNR9287248724,Canceled by Driver,CID959554,Prime SUV,Hosur Road,Yeshwanthpur,No Reason,Customer related issue,,,170,,0,,,#NAME?
40,10-07-2024 21:56,21:56:00,CNR7547352327,Success,CID976231,Prime Plus,Hulimavu,Rajarajeshwari Nagar,No Reason,No Reason,No,,444,UPI,6,3.8,4.9,#NAME?
41,20-07-2024 15:30,15:30:00,CNR9660405769,Canceled by Driver,CID483311,eBike,Electronic City,Varthur,No Reason,Customer related issue,,,1130,,0,,,#NAME?
42,11-07-2024 03:22,03:22:00,CNR4251304471,Success,CID888740,Prime SUV,Shivajinagar,Jayanagar,No Reason,No Reason,No,,876,Cash,21,4.7,3.3,#NAME?
43,06-07-2024 15:02,15:02:00,CNR1568684278,Success,CID709612,Prime Plus,Bannerghatta Road,Majestic,No Reason,No Reason,No,,680,UPI,24,4.7,3.8,#NAME?
44,05-07-2024 20:28,20:28:00,CNR2230045814,Success,CID961125,Prime SUV,Cox Town,Chamarajpet,No Reason,No Reason,No,,425,Cash,11,3.5,4.6,#NAME?
45,11-07-2024 11:28,11:28:00,CNR7871058089,Success,CID221021,Mini,Hennur,Kengeri,No Reason,No Reason,No,,989,Cash,4,4.5,4.2,#NAME?
46,16-07-2024 16:25,16:25:00,CNR5503358927,Driver Not Found,CID552049,Bike,Peenya,MG Road,No Reason,No Reason,,,594,,0,,,#NAME?
47,12-07-2024 18:02,18:02:00,CNR2708187615,Success,CID415325,Prime Plus,Devanahalli,Rajajinagar,No Reason,No Reason,No,,443,Cash,5,3.4,3.1,#NAME?
48,16-07-2024 22:35,22:35:00,CNR1625119636,Success,CID745270,eBike,Ramamurthy Nagar,Sahakar Nagar,No Reason,No Reason,No,,721,Cash,19,3.8,4.7,#NAME?
49,26-07-2024 13:20,13:20:00,CNR9312632867,Success,CID649563,Prime SUV,Tumkur Road,Mysore Road,No Reason,No Reason,Yes,Vehicle Breakdown,2936,Cash,34,4.1,4.6,#NAME?
50,25-07-2024 03:33,03:33:00,CNR5274603340,Success,CID477783,Prime SUV,Electronic City,Banashankari,No Reason,No Reason,No,,747,Cash,25,5.0,3.5,#NAME?
51,17-07-2024 03:30,03:30:00,CNR1050003752,Success,CID993137,Bike,Chamarajpet,Shivajinagar,No Reason,No Reason,No,,799,UPI,25,3.9,4.7,#NAME?
52,07-07-2024 05:59,05:59:00,CNR3603517873,Success,CID386651,eBike,Rajarajeshwari Nagar,Marathahalli,No Reason,No Reason,No,,300,Cash,14,3.3,4.6,#NAME?
53,01-07-2024 02:21,02:21:00,CNR1557960488,Driver Not Found,CID884386,Prime SUV,Rajarajeshwari Nagar,Varthur,No Reason,No Reason,,,162,,0,,,#NAME?
54,01-07-2024 02:45,02:45:00,CNR9758857830,Success,CID528642,Prime Plus,HSR Layout,Magadi Road,No Reason,No Reason,No,,618,UPI,30,3.5,3.7,#NAME?
55,02-07-2024 04:17,04:17:00,CNR8080410192,Success,CID416746,eBike,Jayanagar,JP Nagar,No Reason,No Reason,No,,251,UPI,9,5.0,4.4,#NAME?
56,13-07-2024 02:27,02:27:00,CNR1648186942,Canceled by Driver,CID713303,Bike,Hennur,Padmanabhanagar,No Reason,More than permitted people in there,,,543,,0,,,#NAME?
57,25-07-2024 10:57,10:57:00,CNR2433490646,Success,CID954071,Mini,Hennur,Chamarajpet,No Reason,No Reason,No,,724,Cash,11,4.5,4.8,#NAME?
58,18-07-2024 00:37,00:37:00,CNR7825941026,Success,CID234007,Mini,Marathahalli,Langford Town,No Reason,No Reason,No,,316,UPI,27,3.1,4.7,#NAME?
59,22-07-2024 13:08,13:08:00,CNR9148580255,Success,CID164393,Prime SUV,Tumkur Road,Magadi Road,No Reason,No Reason,No,,138,UPI,24,5.0,3.0,#NAME?
60,15-07-2024 07:21,07:21:00,CNR2946309760,Success,CID984343,Prime Plus,Hosur Road,Hennur,No Reason,No Reason,No,,467,Cash,24,4.5,4.2,#NAME?
61,19-07-2024 10:29,10:29:00,CNR3472489570,Driver Not Found,CID621402,Prime SUV,Electronic City,Marathahalli,No Reason,No Reason,,,565,,0,,,#NAME?
62,07-07-2024 16:56,16:56:00,CNR1768885472,Canceled by Driver,CID130993,Prime SUV,Basavanagudi,Padmanabhanagar,No Reason,More than permitted people in there,,,276,,0,,,#NAME?
63,06-07-2024 01:18,01:18:00,CNR7486448495,Success,CID931462,Auto,Ulsoor,Padmanabhanagar,No Reason,No Reason,No,,296,UPI,5,4.0,4.3,#NAME?
64,04-07-2024 15:32,15:32:00,CNR2735636504,Driver Not Found,CID111173,Prime SUV,Cox Town,Chamarajpet,No Reason,No Reason,,,1310,,0,,,#NAME?
65,26-07-2024 17:17,17:17:00,CNR7533317866,Canceled by Customer,CID867762,Mini,Shantinagar,Hulimavu,AC is Not working,No Reason,,,771,,0,,,#NAME?
66,01-07-2024 02:55,02:55:00,CNR5758479139,Success,CID805528,Prime Sedan,RT Nagar,Chickpet,No Reason,No Reason,No,,279,Cash,43,4.3,3.4,#NAME?
67,22-07-2024 16:24,16:24:00,CNR8021985469,Success,CID604351,Mini,Hosur Road,Kadugodi,No Reason,No Reason,No,,321,Cash,39,3.3,4.7,#NAME?
68,21-07-2024 19:56,19:56:00,CNR3800597072,Success,CID386103,Mini,JP Nagar,Chickpet,No Reason,No Reason,No,,457,Cash,1,4.1,3.4,#NAME?
69,05-07-2024 13:55,13:55:00,CNR6179425512,Success,CID607886,Mini,Bannerghatta Road,Basavanagudi,No Reason,No Reason,No,,139,Cash,45,4.9,3.8,#NAME?
70,29-07-2024 19:40,19:40:00,CNR7924302885,Success,CID517661,Auto,Magadi Road,Nagarbhavi,No Reason,No Reason,Yes,Customer Demand,685,UPI,7,4.1,4.9,#NAME?
71,15-07-2024 21:19,21:19:00,CNR7181374756,Canceled by Driver,CID700952,Auto,Devanahalli,Kammanahalli,No Reason,More than permitted people in there,,,150,,0,,,#NAME?
72,16-07-2024 13:15,13:15:00,CNR2830899440,Success,CID808607,Mini,Kadugodi,Frazer Town,No Reason,No Reason,No,,196,UPI,21,4.3,3.4,#NAME?
73,14-07-2024 11:37,11:37:00,CNR7592165192,Canceled by Driver,CID863704,Prime SUV,Rajarajeshwari Nagar,HSR Layout,No Reason,Personal & Car related issue,,,424,,0,,,#NAME?
74,11-07-2024 21:40,21:40:00,CNR6077524333,Canceled by Driver,CID708519,Prime SUV,Chickpet,Shantinagar,No Reason,More than permitted people in there,,,827,,0,,,#NAME?
75,14-07-2024 04:15,04:15:00,CNR8854206454,Success,CID932765,eBike,Langford Town,Kadugodi,No Reason,No Reason,No,,770,Cash,27,3.3,4.3,#NAME?
76,17-07-2024 07:30,07:30:00,CNR6387231274,Driver Not Found,CID686160,Prime Sedan,Bannerghatta Road,Indiranagar,No Reason,No Reason,,,325,,0,,,#NAME?
77,04-07-2024 14:43,14:43:00,CNR6215530366,Success,CID713821,eBike,Devanahalli,Jayanagar,No Reason,No Reason,No,,986,Cash,18,4.6,4.8,#NAME?
78,29-07-2024 14:56,14:56:00,CNR4314026109,Success,CID259573,Prime SUV,Tumkur Road,Bannerghatta Road,No Reason,No Reason,No,,2208,Cash,40,4.0,4.5,#NAME?
79,17-07-2024 19:55,19:55:00,CNR9027465661,Success,CID737388,Prime Sedan,BTM Layout,Majestic,No Reason,No Reason,No,,1695,UPI,20,4.5,4.7,#NAME?
80,20-07-2024 10:58,10:58:00,CNR5003494701,Canceled by Driver,CID761134,Mini,Sarjapur Road,Majestic,No Reason,Customer related issue,,,305,,0,,,#NAME?
81,08-07-2024 09:18,09:18:00,CNR2064658821,Success,CID954441,Bike,Peenya,Devanahalli,No Reason,No Reason,No,,2271,Cash,37,3.4,4.2,#NAME?
82,07-07-2024 01:31,01:31:00,CNR2149029235,Success,CID596869,Auto,Chickpet,Hennur,No Reason,No Reason,No,,240,UPI,4,4.0,4.9,#NAME?
83,30-07-2024 01:20,01:20:00,CNR9704400677,Success,CID974657,Mini,Langford Town,Vijayanagar,No Reason,No Reason,No,,482,Cash,37,4.4,3.9,#NAME?
84,03-07-2024 11:25,11:25:00,CNR8836460204,Success,CID716037,eBike,Bellandur,Shantinagar,No Reason,No Reason,No,,536,UPI,17,3.9,4.4,#NAME?
85,11-07-2024 10:44,10:44:00,CNR3697318609,Success,CID915228,Bike,Sarjapur Road,Chickpet,No Reason,No Reason,No,,188,UPI,37,4.9,4.1,#NAME?
86,22-07-2024 18:17,18:17:00,CNR6541289543,Canceled by Driver,CID656539,Prime SUV,Frazer Town,Whitefield,No Reason,Customer related issue,,,202,,0,,,#NAME?
87,21-07-2024 06:54,06:54:00,CNR8369601219,Canceled by Driver,CID581505,Prime SUV,Richmond Town,Jayanagar,No Reason,Customer related issue,,,1609,,0,,,#NAME?
88,22-07-2024 00:21,00:21:00,CNR8346388703,Canceled by Driver,CID680143,Mini,Magadi Road,BTM Layout,No Reason,Personal & Car related issue,,,1821,,0,,,#NAME?
89,26-07-2024 09:39,09:39:00,CNR4445082348,Success,CID336831,Mini,Yelahanka,BTM Layout,No Reason,No Reason,No,,415,UPI,22,3.6,3.1,#NAME?
90,26-07-2024 06:06,06:06:00,CNR5528764313,Success,CID808205,Prime SUV,Ramamurthy Nagar,Bannerghatta Road,No Reason,No Reason,No,,2125,UPI,6,3.8,4.6,#NAME?
91,03-07-2024 15:04,15:04:00,CNR3967141568,Canceled by Driver,CID163765,Auto,Padmanabhanagar,Ramamurthy Nagar,No Reason,Customer related issue,,,758,,0,,,#NAME?
92,07-07-2024 09:55,09:55:00,CNR7054352438,Driver Not Found,CID270321,Mini,Hennur,Cox Town,No Reason,No Reason,,,653,,0,,,#NAME?
93,22-07-2024 12:51,12:51:00,CNR1640228587,Success,CID190281,Prime Sedan,Kengeri,Mysore Road,No Reason,No Reason,Yes,Other Issue,704,Cash,42,4.7,4.8,#NAME?
94,19-07-2024 04:48,04:48:00,CNR6684033796,Success,CID352268,Auto,Indiranagar,Whitefield,No Reason,No Reason,No,,385,Cash,19,4.1,3.7,#NAME?
95,01-07-2024 05:03,05:03:00,CNR4158584922,Success,CID772392,Auto,Sahakar Nagar,Ramamurthy Nagar,No Reason,No Reason,No,,934,UPI,12,3.3,5.0,#NAME?
96,23-07-2024 04:01,04:01:00,CNR5133236273,Canceled by Driver,CID905849,Prime Plus,Banashankari,Chickpet,No Reason,Customer related issue,,,615,,0,,,#NAME?
97,26-07-2024 08:22,08:22:00,CNR5661490576,Success,CID546076,Bike,Magadi Road,Electronic City,No Reason,No Reason,No,,2202,Cash,44,4.7,3.4,#NAME?
98,05-07-2024 12:36,12:36:00,CNR2304446757,Success,CID432144,eBike,Rajarajeshwari Nagar,MG Road,No Reason,No Reason,No,,205,Cash,43,4.1,3.1,#NAME?
99,18-07-2024 07:21,07:21:00,CNR3780555542,Canceled by Customer,CID803813,Mini,Tumkur Road,Chamarajpet,Driver asked to cancel,No Reason,,,513,,0,,,#NAME?
100,21-07-2024 08:21,08:21:00,CNR1559782157,Success,CID906966,Auto,Ulsoor,Bellandur,No Reason,No Reason,No,,247,Cash,8,3.1,3.3,#NAME?
101,13-07-2024 02:55,02:55:00,CNR7623690602,Success,CID526261,Bike,Cox Town,Malleshwaram,No Reason,No Reason,Yes,Other Issue,558,UPI,41,3.2,3.2,#NAME?
102,08-07-2024 07:56,07:56:00,CNR2098165198,Success,CID619972,Prime Sedan,Yelahanka,Ramamurthy Nagar,No Reason,No Reason,No,,291,UPI,5,3.8,3.3,#NAME?
103,22-07-2024 04:32,04:32:00,CNR5502012579,Success,CID748475,Mini,Vijayanagar,Kengeri,No Reason,No Reason,No,,925,Cash,22,3.0,4.0,#NAME?
104,24-07-2024 21:58,21:58:00,CNR4698965967,Success,CID529347,Prime Sedan,Ramamurthy Nagar,Chickpet,No Reason,No Reason,No,,121,Cash,44,3.8,4.5,#NAME?
105,21-07-2024 03:13,03:13:00,CNR8566688320,Driver Not Found,CID175878,Bike,Chickpet,Shivajinagar,No Reason,No Reason,,,404,,0,,,#NAME?
106,29-07-2024 12:44,12:44:00,CNR8014852782,Canceled by Customer,CID737119,Prime Plus,Kammanahalli,Magadi Road,Change of plans,No Reason,,,223,,0,,,#NAME?
107,15-07-2024 08:31,08:31:00,CNR6012739836,Driver Not Found,CID308763,Prime Sedan,Ramamurthy Nagar,Magadi Road,No Reason,No Reason,,,2989,,0,,,#NAME?
108,01-07-2024 11:01,11:01:00,CNR3404012927,Success,CID344186,Mini,Chickpet,Chamarajpet,No Reason,No Reason,No,,728,Cash,14,4.3,5.0,#NAME?
109,11-07-2024 10:50,10:50:00,CNR9282027845,Success,CID767941,Bike,Yeshwanthpur,KR Puram,No Reason,No Reason,No,,2416,UPI,49,3.1,3.8,#NAME?
110,30-07-2024 10:02,10:02:00,CNR5508853708,Canceled by Customer,CID812594,Prime Plus,Shivajinagar,HSR Layout,Driver is not moving towards pickup location,No Reason,,,371,,0,,,#NAME?
111,07-07-2024 18:36,18:36:00,CNR4241139229,Success,CID133723,Prime Plus,Kammanahalli,Shivajinagar,No Reason,No Reason,No,,258,Cash,32,4.7,4.1,#NAME?
112,27-07-2024 23:48,23:48:00,CNR8306274838,Driver Not Found,CID117206,Bike,Bellandur,Rajarajeshwari Nagar,No Reason,No Reason,,,170,,0,,,#NAME?
113,16-07-2024 15:25,15:25:00,CNR1903850514,Canceled by Customer,CID126419,eBike,Mysore Road,Vijayanagar,Driver asked to cancel,No Reason,,,151,,0,,,#NAME?
114,26-07-2024 21:02,21:02:00,CNR1852948877,Canceled by Driver,CID953990,Prime Sedan,Yelahanka,Majestic,No Reason,Customer related issue,,,425,,0,,,#NAME?
115,04-07-2024 03:31,03:31:00,CNR5744401218,Success,CID507511,Bike,Yelahanka,Varthur,No Reason,No Reason,No,,220,UPI,2,3.4,3.1,#NAME?
116,16-07-2024 10:15,10:15:00,CNR7221640450,Success,CID195611,Prime Sedan,RT Nagar,Whitefield,No Reason,No Reason,No,,472,UPI,16,3.3,4.5,#NAME?
117,20-07-2024 22:27,22:27:00,CNR8395803905,Canceled by Driver,CID925776,eBike,Bannerghatta Road,RT Nagar,No Reason,Customer related issue,,,616,,0,,,#NAME?
118,15-07-2024 09:20,09:20:00,CNR3750351374,Success,CID524066,Prime SUV,Mysore Road,Peenya,No Reason,No Reason,No,,473,Cash,49,4.0,4.2,#NAME?
119,04-07-2024 18:13,18:13:00,CNR2869164142,Success,CID884352,Prime SUV,BTM Layout,Malleshwaram,No Reason,No Reason,No,,259,Cash,11,4.8,4.5,#NAME?
120,27-07-2024 11:58,11:58:00,CNR8303547069,Success,CID471469,Mini,Langford Town,Richmond Town,No Reason,No Reason,No,,310,Credit Card,2,3.3,3.1,#NAME?
121,09-07-2024 21:32,21:32:00,CNR7368110421,Canceled by Driver,CID372218,Mini,Peenya,Sarjapur Road,No Reason,Personal & Car related issue,,,200,,0,,,#NAME?
122,30-07-2024 10:14,10:14:00,CNR7500310853,Success,CID377809,Prime Sedan,Jayanagar,Richmond Town,No Reason,No Reason,No,,471,UPI,39,3.5,3.7,#NAME?
123,13-07-2024 21:23,21:23:00,CNR8925319975,Success,CID388701,Prime Sedan,Yelahanka,Rajajinagar,No Reason,No Reason,No,,442,UPI,37,4.1,4.5,#NAME?
124,29-07-2024 19:56,19:56:00,CNR9261561390,Success,CID853883,Auto,Koramangala,Majestic,No Reason,No Reason,No,,228,Cash,10,3.7,4.3,#NAME?
125,24-07-2024 09:25,09:25:00,CNR3165383119,Canceled by Driver,CID765484,Prime SUV,Devanahalli,KR Puram,No Reason,Customer was coughing/sick,,,232,,0,,,#NAME?
126,29-07-2024 23:15,23:15:00,CNR7006798592,Driver Not Found,CID786658,Prime Sedan,Ulsoor,RT Nagar,No Reason,No Reason,,,344,,0,,,#NAME?
127,08-07-2024 07:52,07:52:00,CNR5613886410,Success,CID107686,Auto,Marathahalli,KR Puram,No Reason,No Reason,No,,2604,UPI,10,3.8,4.1,#NAME?
128,16-07-2024 04:52,04:52:00,CNR5841521780,Success,CID768996,Prime SUV,Ramamurthy Nagar,Varthur,No Reason,No Reason,No,,274,Cash,37,3.1,3.6,#NAME?
129,09-07-2024 13:07,13:07:00,CNR1281921513,Canceled by Customer,CID163474,Mini,Malleshwaram,Magadi Road,Driver is not moving towards pickup location,No Reason,,,895,,0,,,#NAME?
130,26-07-2024 16:05,16:05:00,CNR2959980296,Success,CID509309,Bike,Hosur Road,Richmond Town,No Reason,No Reason,No,,279,Cash,34,4.5,3.2,#NAME?
131,26-07-2024 23:32,23:32:00,CNR6765124275,Success,CID630281,Prime Sedan,Chamarajpet,Banashankari,No Reason,No Reason,No,,1946,Cash,16,3.0,3.5,#NAME?
132,05-07-2024 04:23,04:23:00,CNR9762994658,Success,CID443169,Prime Plus,RT Nagar,Sahakar Nagar,No Reason,No Reason,No,,1024,UPI,4,4.8,4.1,#NAME?
133,23-07-2024 10:25,10:25:00,CNR8072285783,Canceled by Customer,CID652081,Prime Plus,Frazer Town,Sarjapur Road,Driver asked to cancel,No Reason,,,294,,0,,,#NAME?
134,23-07-2024 19:44,19:44:00,CNR8116331340,Success,CID777382,Auto,RT Nagar,Sarjapur Road,No Reason,No Reason,No,,252,UPI,8,4.0,4.8,#NAME?
135,28-07-2024 10:29,10:29:00,CNR3491700602,Success,CID247449,Mini,Richmond Town,Langford Town,No Reason,No Reason,No,,2542,UPI,2,3.5,4.1,#NAME?
136,19-07-2024 15:04,15:04:00,CNR2166456022,Success,CID930312,Mini,Yeshwanthpur,Indiranagar,No Reason,No Reason,No,,1821,Cash,34,4.4,4.7,#NAME?
137,12-07-2024 08:33,08:33:00,CNR2177201692,Success,CID614111,Mini,Richmond Town,Yeshwanthpur,No Reason,No Reason,No,,200,Cash,31,4.9,4.0,#NAME?
138,16-07-2024 10:22,10:22:00,CNR5755482161,Canceled by Driver,CID126097,Prime SUV,Koramangala,Indiranagar,No Reason,Customer was coughing/sick,,,152,,0,,,#NAME?
139,25-07-2024 11:15,11:15:00,CNR4484571820,Success,CID645793,Auto,HSR Layout,Hosur Road,No Reason,No Reason,No,,2388,Cash,4,4.4,3.6,#NAME?
140,28-07-2024 06:34,06:34:00,CNR7377461832,Success,CID719814,eBike,Ulsoor,Padmanabhanagar,No Reason,No Reason,No,,783,Cash,37,3.5,3.5,#NAME?
141,03-07-2024 20:56,20:56:00,CNR2363111317,Driver Not Found,CID665310,Prime Plus,Electronic City,KR Puram,No Reason,No Reason,,,208,,0,,,#NAME?
142,17-07-2024 07:28,07:28:00,CNR2976802436,Success,CID592039,Prime SUV,Tumkur Road,Cox Town,No Reason,No Reason,No,,1181,UPI,10,3.4,4.9,#NAME?
143,01-07-2024 03:29,03:29:00,CNR8474873609,Canceled by Customer,CID968838,Prime Plus,HSR Layout,KR Puram,Change of plans,No Reason,,,843,,0,,,#NAME?
144,20-07-2024 13:53,13:53:00,CNR1945536909,Success,CID796614,Auto,Sahakar Nagar,JP Nagar,No Reason,No Reason,No,,441,Cash,7,3.0,3.1,#NAME?
145,10-07-2024 02:02,02:02:00,CNR8097291227,Success,CID734844,Prime Plus,Mysore Road,Rajajinagar,No Reason,No Reason,No,,332,UPI,38,3.8,3.4,#NAME?
146,12-07-2024 16:22,16:22:00,CNR1433815646,Success,CID307267,Prime SUV,Banashankari,Marathahalli,No Reason,No Reason,No,,832,Cash,11,3.4,4.1,#NAME?
147,15-07-2024 06:58,06:58:00,CNR5876056264,Success,CID568720,Prime SUV,Kadugodi,Shantinagar,No Reason,No Reason,No,,1361,UPI,47,4.0,3.9,#NAME?
148,04-07-2024 21:47,21:47:00,CNR2943788515,Canceled by Driver,CID627311,Bike,Shantinagar,Ramamurthy Nagar,No Reason,More than permitted people in there,,,415,,0,,,#NAME?
149,28-07-2024 07:06,07:06:00,CNR5599931622,Success,CID822709,Prime SUV,Peenya,Frazer Town,No Reason,No Reason,No,,747,Cash,28,3.8,3.0,#NAME?
150,02-07-2024 01:54,01:54:00,CNR6776927575,Success,CID817693,Bike,Hosur Road,Nagarbhavi,No Reason,No Reason,No,,129,Cash,5,4.4,4.2,#NAME?
